ID,COUNTRY
1,AFGHANISTAN
2,ALBANIA
3,ALGERIA
4,AMERICAN SAMOA
5,ANDORRA
6,ANGOLA
7,ANGUILLA
8,ANTIGUA AND BARBUDA
9,ARGENTINA
10,ARMENIA
11,ARUBA
12,AUSTRALIA
13,AUSTRIA
14,AZERBAIJAN
15,BAHAMAS
16,BAHRAIN
17,BANGLADESH
18,BARBADOS
19,BELARUS
20,BELGIUM
21,BELIZE
22,BENIN
23,BERMUDA
24,BHUTAN
25,"BOLIVIA, PLURINATIONAL STATE OF"
26,BONAIRE
27,BOSNIA AND HERZEGOVINA
28,BOTSWANA
29,BRAZIL
30,BRITISH VIRGIN ISLANDS
31,BRUNEI DARUSSALAM
32,BULGARIA
33,BURKINA FASO
34,BURUNDI
35,CABO VERDE
36,CAMBODIA
37,CAMEROON
38,CANADA
39,CAYMAN ISLANDS
40,CENTRAL AFRICAN REPUBLIC
41,CHAD
42,CHILE
43,CHINA
44,COLOMBIA
45,COMOROS
46,CONGO
47,"CONGO, DEMOCRATIC REPUBLIC OF THE"
48,COOK ISLANDS
49,COSTA RICA
50,COTE D'IVOIRE
51,CROATIA
52,CUBA
53,CURACAO
54,CYPRUS
55,CZECH REPUBLIC
56,DENMARK
57,DJIBOUTI
58,DOMINICA
59,DOMINICAN REPUBLIC
60,ECUADOR
61,EGYPT
62,EL SALVADOR
63,EQUATORIAL GUINEA
64,ERITREA
65,ESTONIA
66,ESWATINI
67,ETHIOPIA
68,FIJI
69,FINLAND
70,FRANCE
71,FRENCH GUIANA
72,FRENCH POLYNESIA
73,GABON
74,GAMBIA
75,GEORGIA
76,GERMANY
77,GHANA
78,GREECE
79,GRENADA
80,GUADELOUPE
81,GUAM
82,GUATEMALA
83,GUINEA
84,GUINEA-BISSAU
85,GUYANA
86,HAITI
87,HONDURAS
88,"HONG KONG, CHINA"
89,HUNGARY
90,ICELAND
91,INDIA
92,INDONESIA
93,"IRAN, ISLAMIC REPUBLIC OF"
94,IRAQ
95,IRELAND
96,ISRAEL
97,ITALY
98,JAMAICA
99,JAPAN
100,JORDAN
101,KAZAKHSTAN
102,KENYA
103,KIRIBATI
104,"KOREA, REPUBLIC OF"
105,KUWAIT
106,KYRGYZSTAN
107,LAO PEOPLE'S DEMOCRATIC REPUBLIC
108,LATVIA
109,LEBANON
110,LESOTHO
111,LIBERIA
112,LIBYA
113,LIECHTENSTEIN
114,LITHUANIA
115,LUXEMBOURG
116,"MACAO, CHINA"
117,MADAGASCAR
118,MALAWI
119,MALAYSIA
120,MALDIVES
121,MALI
122,MALTA
123,MARSHALL ISLANDS
124,MARTINIQUE
125,MAURITANIA
126,MAURITIUS
127,MEXICO
128,"MICRONESIA, FEDERATED STATES OF"
129,"MOLDOVA, REPUBLIC OF"
130,MONACO
131,MONGOLIA
132,MONTENEGRO
133,MONTSERRAT
134,MOROCCO
135,MOZAMBIQUE
136,MYANMAR
137,NAMIBIA
138,NAURU
139,NEPAL
140,NETHERLANDS
141,NEW CALEDONIA
142,NEW ZEALAND
143,NICARAGUA
144,NIGER
145,NIGERIA
146,NIUE
147,NORTH MACEDONIA
148,NORTHERN MARIANA ISLANDS
149,NORWAY
150,OMAN
151,PAKISTAN
152,PALAU
153,PANAMA
154,PAPUA NEW GUINEA
155,PARAGUAY
156,PERU
157,PHILIPPINES
158,POLAND
159,PORTUGAL
160,PUERTO RICO
161,QATAR
162,REUNION
163,ROMANIA
164,RUSSIAN FEDERATION
165,RWANDA
166,SABA
167,SAINT KITTS AND NEVIS
168,SAINT LUCIA
169,SAINT VINCENT AND THE GRENADINES
170,SAMOA
171,SAN MARINO
172,SAO TOME AND PRINCIPE
173,SAUDI ARABIA
174,SENEGAL
175,SERBIA
176,SERBIA AND MONTENEGRO
177,SEYCHELLES
178,SIERRA LEONE
179,SINGAPORE
180,SINT EUSTATIUS
181,SINT MAARTEN (DUTCH PART)
182,SLOVAKIA
183,SLOVENIA
184,SOLOMON ISLANDS
185,SOUTH AFRICA
186,SOUTH SUDAN
187,SPAIN
188,SRI LANKA
189,STATE OF PALESTINE
190,SUDAN
191,SURINAME
192,SWEDEN
193,SWITZERLAND
194,SYRIAN ARAB REPUBLIC
195,TAIWAN PROVINCE OF CHINA
196,TAJIKISTAN
197,"TANZANIA, UNITED REPUBLIC OF"
198,THAILAND
199,TIMOR-LESTE
200,TOGO
201,TONGA
202,TRINIDAD AND TOBAGO
203,TUNISIA
204,TURKEY
205,TURKMENISTAN
206,TURKS AND CAICOS ISLANDS
207,TUVALU
208,UGANDA
209,UKRAINE
210,UNITED ARAB EMIRATES
211,UNITED KINGDOM
212,UNITED STATES OF AMERICA
213,UNITED STATES VIRGIN ISLANDS
214,URUGUAY
215,UZBEKISTAN
216,VANUATU
217,"VENEZUELA, BOLIVARIAN REPUBLIC OF"
218,VIET NAM
219,YEMEN
220,ZAMBIA
221,ZIMBABWE
