year,Africa,Asia,Europe,NorthAmerica,Oceania,SouthAmerica
2008,44586,192225,283519,199119,28493,21648
2009,42027,186775,243955,176322,27986,20695
2010,46038,223698,241140,199873,32327,22511
2011,43755,261371,278641,220924,35758,25845
2012,46768,290860,269475,237354,35651,27362
2013,42027,324971,287630,257456,34428,28292
2014,45162,346309,296609,278534,37367,29725
2015,39391,338789,265334,294726,37846,29366
2016,35878,345340,267938,295035,40786,30584
2017,46081,377059,299125,303063,45820,32423
2018,52375,449500,326080,307400,49373,33559
